"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","The user needs a valid guest session created with its API Key","SUCCESS","2020-03-10T18:51:54.135-05:00[America/Bogota]","0.0","3.63"
"Authentication","The user needs a valid session created with its API Key","SUCCESS","2020-03-10T18:51:57.773-05:00[America/Bogota]","0.0","1.32"
"List","The user needs to create a new list in TMDB","SUCCESS","2020-03-10T18:51:59.103-05:00[America/Bogota]","0.0","1.85"
"List","The user needs to add a new movie to the list","SUCCESS","2020-03-10T18:52:00.957-05:00[America/Bogota]","0.0","2.12"
"List","The user needs to remove movies in the list","SUCCESS","2020-03-10T18:52:06.653-05:00[America/Bogota]","0.0","2.5"
"List","The user needs to clear records of the list","SUCCESS","2020-03-10T18:52:09.153-05:00[America/Bogota]","0.0","2.43"
"List","The user needs to delete the list","SUCCESS","2020-03-10T18:52:11.589-05:00[America/Bogota]","0.0","1.82"
"Movie Rate","The user needs to rate a movie in TMDB","SUCCESS","2020-03-10T18:52:13.41-05:00[America/Bogota]","0.0","1.48"
"Movie Rate","The user needs to delete a rate of a movie in TMDB","SUCCESS","2020-03-10T18:52:14.889-05:00[America/Bogota]","0.0","1.52"
"TV Episodes Rate","The user needs to rate a TV episode in TMDB","SUCCESS","2020-03-10T18:52:16.41-05:00[America/Bogota]","0.0","1.67"
"TV Episodes Rate","The user needs to delete a rate of a TV episode in TMDB","SUCCESS","2020-03-10T18:52:18.08-05:00[America/Bogota]","0.0","1.51"
"TV Shows Rate","The user needs to rate a TV show in TMDB","SUCCESS","2020-03-10T18:52:19.597-05:00[America/Bogota]","0.0","1.61"
"TV Shows Rate","The user needs to delete a rate of a TV show in TMDB","SUCCESS","2020-03-10T18:52:21.213-05:00[America/Bogota]","0.0","1.48"
